"Marca","Fabricante","Modelo","Sistema operativo","Capacidad de la memoria","Memoria extraíble","Resolución del sensor óptico","Valoración","Valoraciones","Precio","Imagen"
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51yGO6MV%2BNL._AC_SL1001_.jpg"
"SAMSUNG","Samsung Foreign Versions","SM-N910FZKEDBT","Android 4.4","32 GB"," ","16 Modificador desconocido","4.0","633","480.00","Pictures/A1fEs3xq8NL._AC_SL1500_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"SAMSUNG","Samsung Foreign Versions","SM-G965FZKDCOA","Android 8.0","64 GB"," ","12 Modificador desconocido","4.5","345","579.00","Pictures/71dd-elhT7L._AC_SL1500_.jpg"
"Xiaomi","Xiaomi EU (Catalog and Report)","PN100566","Android","64 GB"," ","12 MP","4.3","909","316.03","Pictures/515yoVLc4BL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi"," "," ","16 GB"," ","13 MP","4.2","80","129.00","Pictures/61of6P0EcuL._AC_SL1000_.jpg"
"Brondi","Brondi","10277050","Proprietario","16 GB"," ","1.3 MP"," "," ","76.16","Pictures/71dF9s9cF8L._AC_SL1500_.jpg"
"SAMSUNG","Samsung","GT-S5830OKIPHE","Android 2.3","158 MB"," ","5 MP","3.6","62","129.00","Pictures/81x2FS0GMRL._AC_SL1500_.jpg"
"BQ","Esprinet","C000345","Android","1 GB"," ","13 MP","3.9","32","97.95","Pictures/71NK3uhyh2L._AC_SL1500_.jpg"
"Pomya","Pomya"," "," ","32 GB"," "," "," "," "," ","Pictures/51JQIA%2BsQiL._AC_SL1001_.jpg"
"ONEPLUS","OnePlus","5011100648","Android 9.0","256 GB"," ","48 MP","4.6","159","671.35","Pictures/71mwLC59dSL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-G780FZBDEUB","One UI 2.5, Android 10.0","128 GB"," ","12 MP"," "," ","629.99","Pictures/712EnrdhVLL._AC_SL1500_.jpg"
"SAMSUNG","Samsung Foreign Versions","GT-I8190MBADBT","Android 4.1","8 GB"," ","5 MP","3.9","1.751","159.74","Pictures/71A6%2B-WHjdL._AC_SL1180_.jpg"
"A ADDTOP","Dongguan Jili Intelligent Technology Co., Ltd.","B02P"," "," "," "," ","4.6","316","25.99","Pictures/71%2Bf4CrdQzL._AC_SL1500_.jpg"
"Apple","Apple Computer"," ","IOS","128 GB"," ","12 MP","5.0","1","674.99","Pictures/71P60TP5IwL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi"," "," ","1 GB"," "," ","4.4","159","302.00","Pictures/51iDXoZh15L._AC_SL1000_.jpg"
"LG","LG","LMG810EMW.ADECMB","Android","6 GB"," ","12 MP","4.5","477","449.00","Pictures/81Hb-NCbo8L._AC_SL1500_.jpg"
